factor,file,time_coverage,time_params
aacb,aacb.py,???(??????T),{}
alpha001_signed_power_v1,alpha001_signed_power_v1.py,????????(???????),"{""stddev_window"": 20, ""ts_max_window"": 5}"
alpha002_corr_volume_return_v1,alpha002_corr_volume_return_v1.py,????????(???????),"{""corr_window"": 6}"
alpha003_corr_open_volume_v1,alpha003_corr_open_volume_v1.py,????????(???????),"{""corr_window"": 10}"
alpha004_ts_rank_low_v1,alpha004_ts_rank_low_v1.py,????????(???????),"{""ts_rank_window"": 9}"
alpha005_vwap_gap_v1,alpha005_vwap_gap_v1.py,????????(???????),"{""vwap_window"": 10}"
alpha006_corr_open_volume_neg_v1,alpha006_corr_open_volume_neg_v1.py,????????(???????),"{""corr_window"": 10}"
alpha007_volume_breakout_v1,alpha007_volume_breakout_v1.py,????????(???????),"{""adv_window"": 20, ""delta_window"": 7, ""ts_rank_window"": 60}"
alpha008_open_return_momentum_v1,alpha008_open_return_momentum_v1.py,????????(???????),"{""sum_window"": 5, ""delay_window"": 10}"
alpha009_close_change_filter_v1,alpha009_close_change_filter_v1.py,????????(???????),"{""ts_window"": 5}"
alpha010_close_change_rank_v1,alpha010_close_change_rank_v1.py,????????(???????),"{""ts_window"": 4}"
alpha011_vwap_close_volume_v1,alpha011_vwap_close_volume_v1.py,????????(???????),"{""ts_window"": 3}"
alpha012_volume_close_reversal_v1,alpha012_volume_close_reversal_v1.py,???(??????T),{}
alpha013_cov_close_volume_v1,alpha013_cov_close_volume_v1.py,????????(???????),"{""cov_window"": 5}"
alpha014_return_open_volume_v1,alpha014_return_open_volume_v1.py,????????(???????),"{""delta_window"": 3, ""corr_window"": 10}"
alpha015_high_volume_corr_v1,alpha015_high_volume_corr_v1.py,????????(???????),"{""corr_window"": 3, ""sum_window"": 3}"
alpha016_cov_high_volume_v1,alpha016_cov_high_volume_v1.py,????????(???????),"{""cov_window"": 5}"
alpha017_close_rank_volume_v1,alpha017_close_rank_volume_v1.py,????????(???????),"{""adv_window"": 20, ""ts_rank_close_window"": 10, ""ts_rank_vol_window"": 5}"
alpha018_close_open_vol_v1,alpha018_close_open_vol_v1.py,????????(???????),"{""stddev_window"": 5, ""corr_window"": 10}"
alpha019_close_momentum_sign_v1,alpha019_close_momentum_sign_v1.py,????????(???????),"{""delta_window"": 7, ""sum_window"": 250}"
alpha020_open_delay_range_v1,alpha020_open_delay_range_v1.py,????????(???????),"{""delay_window"": 1}"
alpha021_close_volatility_breakout_v1,alpha021_close_volatility_breakout_v1.py,????????(???????),"{""sum_window_long"": 5, ""sum_window_short"": 2, ""adv_window"": 10}"
alpha022_high_volume_corr_change_v1,alpha022_high_volume_corr_change_v1.py,????????(???????),"{""corr_window"": 5, ""delta_window"": 5, ""stddev_window"": 10}"
alpha023_high_momentum_v1,alpha023_high_momentum_v1.py,????????(???????),"{""sum_window"": 10, ""delta_window"": 2}"
alpha024_close_trend_filter_v1,alpha024_close_trend_filter_v1.py,????????(???????),"{""sum_window"": 20, ""delta_window"": 20, ""ts_min_window"": 20, ""short_delta_window"": 3}"
alpha025_return_volume_vwap_range_v1,alpha025_return_volume_vwap_range_v1.py,????????(???????),"{""adv_window"": 10}"
alpha026_volume_high_rank_corr_v1,alpha026_volume_high_rank_corr_v1.py,????????(???????),"{""ts_rank_window"": 5, ""corr_window"": 5, ""ts_max_window"": 3}"
alpha027_volume_vwap_corr_signal_v1,alpha027_volume_vwap_corr_signal_v1.py,????????(???????),"{""corr_window"": 6, ""sum_window"": 2}"
alpha028_adv_low_close_signal_v1,alpha028_adv_low_close_signal_v1.py,????????(???????),"{""adv_window"": 10, ""corr_window"": 5}"
alpha029_complex_rank_signal_v1,alpha029_complex_rank_signal_v1.py,????????(???????),"{""ts_min_window"": 2, ""ts_rank_window"": 5, ""delay_window"": 3, ""min_window"": 5}"
alpha030_close_sign_volume_v1,alpha030_close_sign_volume_v1.py,????????(???????),"{""sum_window_short"": 5, ""sum_window_long"": 10}"
alpha031_close_decay_momentum_v1,alpha031_close_decay_momentum_v1.py,????????(???????),"{""delta_window"": 10, ""decay_window"": 10, ""delta_short_window"": 3, ""corr_window"": 12, ""adv_window"": 10}"
alpha032_vwap_close_mean_reversion_v1,alpha032_vwap_close_mean_reversion_v1.py,????????(???????),"{""sum_window"": 7, ""corr_window"": 60, ""delay_window"": 5}"
alpha033_open_close_ratio_v1,alpha033_open_close_ratio_v1.py,???(??????T),{}
alpha034_return_volatility_rank_v1,alpha034_return_volatility_rank_v1.py,????????(???????),"{""stddev_window_short"": 2, ""stddev_window_long"": 5, ""delta_window"": 1}"
alpha035_volume_price_momentum_v1,alpha035_volume_price_momentum_v1.py,????????(???????),"{""ts_rank_window_long"": 20, ""ts_rank_window_short"": 16}"
alpha036_complex_correlation_signal_v1,alpha036_complex_correlation_signal_v1.py,????????(???????),"{""corr_window_1"": 15, ""corr_window_2"": 6, ""sum_window"": 60, ""ts_rank_window"": 5, ""delay_window"": 6, ""adv_window"": 10}"
alpha037_open_close_correlation_v1,alpha037_open_close_correlation_v1.py,????????(???????),"{""corr_window"": 30, ""delay_window"": 1}"
alpha038_close_rank_ratio_v1,alpha038_close_rank_ratio_v1.py,????????(???????),"{""ts_rank_window"": 10}"
alpha039_volume_decay_momentum_v1,alpha039_volume_decay_momentum_v1.py,????????(???????),"{""adv_window"": 10, ""decay_window"": 9, ""delta_window"": 7, ""sum_window"": 60}"
alpha040_high_volatility_corr_v1,alpha040_high_volatility_corr_v1.py,????????(???????),"{""stddev_window"": 10, ""corr_window"": 10}"
alpha041_geometric_mean_vwap_v1,alpha041_geometric_mean_vwap_v1.py,???(??????T),{}
alpha042_vwap_close_rank_ratio_v1,alpha042_vwap_close_rank_ratio_v1.py,???(??????T),{}
alpha043_volume_delay_momentum_v1,alpha043_volume_delay_momentum_v1.py,????????(???????),"{""adv_window"": 10, ""ts_rank_window_1"": 10, ""delta_window"": 5, ""ts_rank_window_2"": 5}"
alpha044_high_volume_rank_corr_v1,alpha044_high_volume_rank_corr_v1.py,????????(???????),"{""corr_window"": 5}"
alpha045_close_sum_corr_v1,alpha045_close_sum_corr_v1.py,????????(???????),"{""delay_window"": 5, ""sum_window_long"": 20, ""corr_window_1"": 2, ""sum_window_short"": 5, ""corr_window_2"": 2}"
alpha046_close_delay_trend_v1,alpha046_close_delay_trend_v1.py,????????(???????),"{""delay_window_long"": 10, ""delay_window_short"": 5}"
alpha047_inverse_close_volume_v1,alpha047_inverse_close_volume_v1.py,????????(???????),"{""adv_window"": 10, ""sum_window"": 5, ""delay_window"": 5}"
alpha049_close_delay_threshold_v1,alpha049_close_delay_threshold_v1.py,????????(???????),"{""delay_window_long"": 10, ""delay_window_short"": 5}"
alpha050_volume_vwap_corr_max_v1,alpha050_volume_vwap_corr_max_v1.py,????????(???????),"{""corr_window"": 5, ""ts_max_window"": 5}"
alpha051_close_delay_threshold_v2_v1,alpha051_close_delay_threshold_v2_v1.py,????????(???????),"{""delay_window_long"": 10, ""delay_window_short"": 5}"
alpha052_low_momentum_volume_v1,alpha052_low_momentum_volume_v1.py,????????(???????),"{""ts_min_window"": 5, ""delay_window"": 5, ""sum_window_long"": 60, ""sum_window_short"": 20, ""ts_rank_window"": 5}"
alpha053_price_position_delta_v1,alpha053_price_position_delta_v1.py,????????(???????),"{""delta_window"": 9}"
alpha054_price_power_ratio_v1,alpha054_price_power_ratio_v1.py,???(??????T),{}
alpha055_close_range_volume_corr_v1,alpha055_close_range_volume_corr_v1.py,????????(???????),"{""ts_window"": 12, ""corr_window"": 6}"
alpha057_close_vwap_decay_v1,alpha057_close_vwap_decay_v1.py,????????(???????),"{""ts_argmax_window"": 10, ""decay_window"": 2}"
alpha060_price_range_volume_scale_v1,alpha060_price_range_volume_scale_v1.py,????????(???????),"{""ts_argmax_window"": 10}"
alpha062_vwap_open_rank_compare_v1,alpha062_vwap_open_rank_compare_v1.py,????????(???????),"{""adv_window"": 20, ""sum_window"": 22, ""corr_window"": 10}"
alpha065_open_vwap_min_signal_v1,alpha065_open_vwap_min_signal_v1.py,????????(???????),"{""adv_window"": 30, ""sum_window"": 9, ""corr_window"": 6, ""ts_min_window"": 14}"
alpha066_vwap_low_decay_v1,alpha066_vwap_low_decay_v1.py,????????(???????),"{""delta_window"": 4, ""decay_window_1"": 7, ""decay_window_2"": 11, ""ts_rank_window"": 7}"
alpha068_high_adv_rank_signal_v1,alpha068_high_adv_rank_signal_v1.py,????????(???????),"{""adv_window"": 15, ""corr_window"": 9, ""ts_rank_window"": 14, ""delta_window"": 1}"
alpha072_vwap_volume_decay_ratio_v1,alpha072_vwap_volume_decay_ratio_v1.py,????????(???????),"{""adv_window"": 20, ""corr_window_1"": 9, ""decay_window_1"": 10, ""ts_rank_window_1"": 4, ""ts_rank_window_2"": 19, ""corr_window_2"": 7, ""decay_window_2"": 3}"
alpha073_vwap_open_decay_max_v1,alpha073_vwap_open_decay_max_v1.py,????????(???????),"{""delta_window_1"": 5, ""decay_window_1"": 3, ""delta_window_2"": 2, ""decay_window_2"": 3, ""ts_rank_window"": 17}"
alpha074_close_adv_rank_corr_v1,alpha074_close_adv_rank_corr_v1.py,????????(???????),"{""adv_window"": 20, ""sum_window"": 37, ""corr_window_1"": 15, ""corr_window_2"": 11}"
alpha075_vwap_volume_low_adv_corr_v1,alpha075_vwap_volume_low_adv_corr_v1.py,????????(???????),"{""corr_window_1"": 4, ""adv_window"": 30, ""corr_window_2"": 12}"
alpha077_mid_price_adv_decay_min_v1,alpha077_mid_price_adv_decay_min_v1.py,????????(???????),"{""decay_window_1"": 10, ""adv_window"": 20, ""corr_window"": 3, ""decay_window_2"": 6}"
alpha078_low_vwap_adv_corr_v1,alpha078_low_vwap_adv_corr_v1.py,????????(???????),"{""sum_window_1"": 20, ""adv_window"": 20, ""sum_window_2"": 20, ""corr_window_1"": 7, ""corr_window_2"": 6}"
amihud_illiq,amihud_illiq.py,T-30min ~ T (???),"{""window_minutes"": 30}"
amount_sum,amount_sum.py,T-30min ~ T (???),"{""window_minutes"": 30}"
bid_ask_spread_v1,bid_ask_spread_v1.py,???(??????T),{}
depth_imbalance,depth_imbalance.py,???(??????T),{}
depth_slope,depth_slope.py,???(??????T),{}
depth_weighted_imbalance_v1,depth_weighted_imbalance_v1.py,???(??????T),{}
intraday_momentum_v1,intraday_momentum_v1.py,???(??????T),{}
microprice_bias,microprice_bias.py,???(??????T),{}
midprice_move,midprice_move.py,T-30min ~ T (???),"{""window_minutes"": 30}"
mom_slope,mom_slope.py,T-30min ~ T (???),"{""window_minutes"": 30}"
order_flow_imbalance_v1,order_flow_imbalance_v1.py,???(??????T),{}
premium_momentum_proxy_v1,premium_momentum_proxy_v1.py,???(??????T),{}
price_level_position_v1,price_level_position_v1.py,???(??????T),{}
price_position,price_position.py,T-30min ~ T (???),"{""window_minutes"": 30}"
range_ratio,range_ratio.py,T-30min ~ T (???),"{""window_minutes"": 30}"
ret_open_to_time,ret_open_to_time.py,09:30~14:30 (????),"{""start_time"": ""09:30"", ""end_time"": ""14:30""}"
ret_window,ret_window.py,T-30min ~ T (???),"{""window_minutes"": 30}"
return_skew,return_skew.py,T-30min ~ T (???),"{""window_minutes"": 30}"
spread,spread.py,???(??????T),{}
