trade_date,factor,weight,regression_kind,train_start,train_end,train_days,train_rows
2024-05-08,base_debt_premium_floor_gap,0.08299111652419366,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,bsfst_stock_return_bond_flow_mutual_information60,0.06624659276040001,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,bssrc_bond_stock_rank_correlation60,0.03263944151778166,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,bstk_tail_cocrash_residual20,-0.08576354679327546,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dliq_volume_return_corr20,0.001073182192561669,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dohw_intraday_sign_range_asymmetry60,0.0127013926387115,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dohw_mean_wick_asymmetry60,0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dredemption_bondpremium_interaction,0.0799730099374844,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dredemption_premium_z20,-0.04654480934558749,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dret_drawup_drawdown_asym,0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dret_volatility_20,0.03948493903717421,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,drt_rebound_from_low20,0.2716518541494662,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,dtwap_morning_slope20,0.0024299202191487438,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,lcc_amount_trade_size_information60,0.007993279488256157,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,lcc_volume_deal_information60,-0.04800639355285742,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,lrd_cross_side_reprice_symmetry,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,prcn_return_capacity_rank_corr60,-0.012475974845355156,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,qed_prior_quote_lag2_agreement,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,qed_prior_quote_location_dispersion,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,qed_prior_quote_tail_penetration,-0.04563540730466294,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,rjst_amount_joint_transition_entropy60,0.05203639915322106,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,rlmi_return_deal_sign_mutual_information60,0.04522458368314433,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-08,ydpt_yield_fall_return_beta60,0.06712815685671812,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,base_debt_premium_floor_gap,0.08299111652419366,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,bsfst_stock_return_bond_flow_mutual_information60,0.06624659276040001,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,bssrc_bond_stock_rank_correlation60,0.03263944151778166,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,bstk_tail_cocrash_residual20,-0.08576354679327546,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dliq_volume_return_corr20,0.001073182192561669,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dohw_intraday_sign_range_asymmetry60,0.0127013926387115,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dohw_mean_wick_asymmetry60,0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dredemption_bondpremium_interaction,0.0799730099374844,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dredemption_premium_z20,-0.04654480934558749,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dret_drawup_drawdown_asym,0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dret_volatility_20,0.03948493903717421,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,drt_rebound_from_low20,0.2716518541494662,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,dtwap_morning_slope20,0.0024299202191487438,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,lcc_amount_trade_size_information60,0.007993279488256157,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,lcc_volume_deal_information60,-0.04800639355285742,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,lrd_cross_side_reprice_symmetry,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,prcn_return_capacity_rank_corr60,-0.012475974845355156,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,qed_prior_quote_lag2_agreement,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,qed_prior_quote_location_dispersion,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,qed_prior_quote_tail_penetration,-0.04563540730466294,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,rjst_amount_joint_transition_entropy60,0.05203639915322106,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,rlmi_return_deal_sign_mutual_information60,0.04522458368314433,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-09,ydpt_yield_fall_return_beta60,0.06712815685671812,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,base_debt_premium_floor_gap,0.08299111652419366,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,bsfst_stock_return_bond_flow_mutual_information60,0.06624659276040001,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,bssrc_bond_stock_rank_correlation60,0.03263944151778166,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,bstk_tail_cocrash_residual20,-0.08576354679327546,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dliq_volume_return_corr20,0.001073182192561669,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dohw_intraday_sign_range_asymmetry60,0.0127013926387115,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dohw_mean_wick_asymmetry60,0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dredemption_bondpremium_interaction,0.0799730099374844,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dredemption_premium_z20,-0.04654480934558749,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dret_drawup_drawdown_asym,0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dret_volatility_20,0.03948493903717421,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,drt_rebound_from_low20,0.2716518541494662,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,dtwap_morning_slope20,0.0024299202191487438,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,lcc_amount_trade_size_information60,0.007993279488256157,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,lcc_volume_deal_information60,-0.04800639355285742,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,lrd_cross_side_reprice_symmetry,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,prcn_return_capacity_rank_corr60,-0.012475974845355156,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,qed_prior_quote_lag2_agreement,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,qed_prior_quote_location_dispersion,-0.0,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,qed_prior_quote_tail_penetration,-0.04563540730466294,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,rjst_amount_joint_transition_entropy60,0.05203639915322106,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,rlmi_return_deal_sign_mutual_information60,0.04522458368314433,elasticnet,2024-01-30,2024-05-07,60,8316
2024-05-10,ydpt_yield_fall_return_beta60,0.06712815685671812,elasticnet,2024-01-30,2024-05-07,60,8316
